"ID","NAMES","P09_POP0014_AsTheCrowFlies_ACC_0.5"
"97201","L'AJOUPA-BOUILLON",99999999999999
"97202","LES ANSES-D'ARLET",19161.4860754775
"97203","BASSE-POINTE",99999999999999
"97204","LE CARBET",19874.7416990502
"97205","CASE-PILOTE",15503.2866505445
"97206","LE DIAMANT",18467.4693165984
"97207","DUCOS",12465.1956859654
"97208","FONDS-SAINT-DENIS",16330.6067364595
"97209","FORT-DE-FRANCE",11754.1833564329
"97210","LE FRANCOIS",15176.0318229799
"97211","GRAND'RIVIERE",99999999999999
"97212","GROS-MORNE",12249.3660318503
"97213","LE LAMENTIN",10718.078280506
"97214","LE LORRAIN",99999999999999
"97215","MACOUBA",99999999999999
"97216","LE MARIGOT",18132.597616281
"97217","LE MARIN",99999999999999
"97218","LE MORNE-ROUGE",19815.4099480193
"97219","LE PRECHEUR",99999999999999
"97220","RIVIERE-PILOTE",19789.9900098637
"97221","RIVIERE-SALEE",15439.263599367
"97222","LE ROBERT",13761.2679772114
"97223","SAINT-ESPRIT",15280.8397154028
"97224","SAINT-JOSEPH",10802.8900798962
"97225","SAINT-PIERRE",99999999999999
"97226","SAINTE-ANNE",99999999999999
"97227","SAINTE-LUCE",19373.3610340992
"97228","SAINTE-MARIE",17002.9819128701
"97229","SCHOELCHER",13658.4895903478
"97230","LA TRINITE",16856.1940037253
"97231","LES TROIS-ILETS",15583.5724442037
"97232","LE VAUCLIN",99999999999999
"97233","LE MORNE-VERT",16981.4150645952
"97234","BELLEFONTAINE",17442.6028650216
