"ID","NAMES","P09_POP0014_AsTheCrowFlies_POT_5000"
"97201","L'AJOUPA-BOUILLON",2400.67634736
"97202","LES ANSES-D'ARLET",2072.53908713
"97203","BASSE-POINTE",1552.09563238
"97204","LE CARBET",1547.1147833
"97205","CASE-PILOTE",8618.62907111
"97206","LE DIAMANT",3010.25116781
"97207","DUCOS",7958.66979591
"97208","FONDS-SAINT-DENIS",1597.64481212
"97209","FORT-DE-FRANCE",22218.47281513
"97210","LE FRANCOIS",5379.51277458
"97211","GRAND'RIVIERE",778.61343385
"97212","GROS-MORNE",5405.86722128
"97213","LE LAMENTIN",10624.3305195
"97214","LE LORRAIN",2972.5350233
"97215","MACOUBA",1089.24577
"97216","LE MARIGOT",4633.97813347
"97217","LE MARIN",4056.12857946
"97218","LE MORNE-ROUGE",2264.4697021
"97219","LE PRECHEUR",697.65782218
"97220","RIVIERE-PILOTE",5808.66902891
"97221","RIVIERE-SALEE",6106.25466494
"97222","LE ROBERT",6206.56002004
"97223","SAINT-ESPRIT",6724.48268842
"97224","SAINT-JOSEPH",14965.29093995
"97225","SAINT-PIERRE",1517.60691324
"97226","SAINTE-ANNE",1880.59419158
"97227","SAINTE-LUCE",4611.69299841
"97228","SAINTE-MARIE",4977.48995568
"97229","SCHOELCHER",18733.44479158
"97230","LA TRINITE",3937.15541686
"97231","LES TROIS-ILETS",3069.13186812
"97232","LE VAUCLIN",3451.01833022
"97233","LE MORNE-VERT",2265.75354247
"97234","BELLEFONTAINE",3066.16855778
