"ID","NAMES","P09_POP_AsTheCrowFlies_POT_0"
"97201","L'AJOUPA-BOUILLON",1723
"97202","LES ANSES-D'ARLET",3832
"97203","BASSE-POINTE",3764
"97204","LE CARBET",3798
"97205","CASE-PILOTE",4490
"97206","LE DIAMANT",6109
"97207","DUCOS",16714
"97208","FONDS-SAINT-DENIS",865
"97209","FORT-DE-FRANCE",88440
"97210","LE FRANCOIS",19474
"97211","GRAND'RIVIERE",678
"97212","GROS-MORNE",10686
"97213","LE LAMENTIN",39162
"97214","LE LORRAIN",7588
"97215","MACOUBA",1239
"97216","LE MARIGOT",3635
"97217","LE MARIN",8828
"97218","LE MORNE-ROUGE",5116
"97219","LE PRECHEUR",1673
"97220","RIVIERE-PILOTE",13468
"97221","RIVIERE-SALEE",12945
"97222","LE ROBERT",23533
"97223","SAINT-ESPRIT",9190
"97224","SAINT-JOSEPH",16730
"97225","SAINT-PIERRE",4453
"97226","SAINTE-ANNE",4703
"97227","SAINTE-LUCE",9684
"97228","SAINTE-MARIE",18760
"97229","SCHOELCHER",21162
"97230","LA TRINITE",13923
"97231","LES TROIS-ILETS",7664
"97232","LE VAUCLIN",9087
"97233","LE MORNE-VERT",1843
"97234","BELLEFONTAINE",1445
