"ID","NAMES","P09_POP1529_AsTheCrowFlies_POT_0"
"97201","L AJOUPA-BOUILLON",264
"97202","LES ANSES-D ARLET",581
"97203","BASSE-POINTE",613
"97204","LE CARBET",584
"97205","CASE-PILOTE",762
"97206","LE DIAMANT",1037
"97207","DUCOS",3519
"97208","FONDS-SAINT-DENIS",134
"97209","FORT-DE-FRANCE",16706
"97210","LE FRANCOIS",3364
"97211","GRAND RIVIERE",91
"97212","GROS-MORNE",1798
"97213","LE LAMENTIN",7367
"97214","LE LORRAIN",1272
"97215","MACOUBA",215
"97216","LE MARIGOT",545
"97217","LE MARIN",1383
"97218","LE MORNE-ROUGE",831
"97219","LE PRECHEUR",304
"97220","RIVIERE-PILOTE",2409
"97221","RIVIERE-SALEE",2450
"97222","LE ROBERT",4377
"97223","SAINT-ESPRIT",1562
"97224","SAINT-JOSEPH",3075
"97225","SAINT-PIERRE",779
"97226","SAINTE-ANNE",688
"97227","SAINTE-LUCE",1636
"97228","SAINTE-MARIE",3561
"97229","SCHOELCHER",4415
"97230","LA TRINITE",2517
"97231","LES TROIS-ILETS",1270
"97232","LE VAUCLIN",1588
"97233","LE MORNE-VERT",259
"97234","BELLEFONTAINE",262
